rank,playlist,artist_name,track_name,track popularity,artist genre,acousticness,danceability,energy,instrumentalness,valence,track_id
10,Top Songs - Israel,Gal Adam,משוגעת (Prod. by Triangle),57,israeli mediterranean,0.134,0.761,0.787,0.00145,0.542,3idINUuyRidKbQiMFt6EkU
1,Top Songs - United Kingdom,PinkPantheress,Boy's a liar Pt. 2,95,None,0.252,0.696,0.809,0.000128,0.857,6AQbmUe0Qwf5PZnt4HmTXv
2,Top Songs - United Kingdom,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
3,Top Songs - United Kingdom,SZA,Kill Bill,93,pop,0.0521,0.644,0.735,0.144,0.418,1Qrg8KqiBpW07V7PNxwwwL
4,Top Songs - United Kingdom,Calvin Harris,Miracle (with Ellie Goulding),81,dance pop,0.0378,0.636,0.869,0.0446,0.306,5eTaQYBE1yrActixMAeLcZ
5,Top Songs - United Kingdom,RAYE,Escapism.,79,dance pop,0.138,0.538,0.742,4.67e-05,0.25,5mHdCZtVyb4DcJw8799hZp
6,Top Songs - United Kingdom,Lizzy McAlpine,ceilings,88,boston folk,0.473,0.516,0.322,0.00194,0.261,2L9N0zZnd37dwF0clgxMGI
7,Top Songs - United Kingdom,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
8,Top Songs - United Kingdom,Coi Leray,Players,90,new jersey underground rap,0.03,0.954,0.516,7.54e-06,0.624,6UN73IYd0hZxLi8wFPMQij
9,Top Songs - United Kingdom,Miguel,Sure Thing,91,dance pop,0.0267,0.684,0.607,0.000307,0.498,0JXXNGljqupsJaZsgSbMZV
10,Top Songs - United Kingdom,Taylor Swift,Anti-Hero,92,pop,0.13,0.637,0.643,1.8e-06,0.533,0V3wPSX9ygBnCm8psDIegu
1,Top Songs - Hong Kong,Anson Lo 盧瀚霆,MONEY,66,hk-pop,0.0758,0.729,0.774,0.0,0.416,4bzylGLMAjkb8AYCcsu96R
2,Top Songs - Hong Kong,Keung To,風雨不改 (電影《阿媽有咗第二個》主題曲),72,cantopop,0.942,0.319,0.198,8.65e-06,0.287,172oAbLGpgeCsukno7oBRe
3,Top Songs - Hong Kong,Keung To,"Dear My Friend,",67,cantopop,0.723,0.646,0.452,0.0,0.266,11IqNbLOD4s4nVYSuEttFR
4,Top Songs - Hong Kong,Anson Lo 盧瀚霆,永順街39號,66,hk-pop,0.869,0.57,0.392,0.0,0.524,3b4dQtIVyVhQdbYVfrik0k
5,Top Songs - Hong Kong,Keung To,作品的說話,69,cantopop,0.443,0.635,0.389,0.0,0.667,1dBroK67DSaaEE5kvkVjzG
6,Top Songs - Hong Kong,Keung To,鏡中鏡,65,cantopop,0.0399,0.624,0.667,3.42e-05,0.223,4umaD9GJDZMihD9mal7vd1
7,Top Songs - Hong Kong,Anson Lo 盧瀚霆,偷情,64,hk-pop,0.0503,0.578,0.713,0.0,0.397,2E5X5HbBHBUeo2juTSgTMX
8,Top Songs - Hong Kong,MC 張天賦,老派約會之必要,58,cantopop,0.503,0.679,0.563,0.0,0.631,3x2hKSUf8O8IqI1shmxGnp
9,Top Songs - Hong Kong,陳卓賢 Ian,再見 寧靜海,66,cantopop,0.5,0.466,0.471,0.0,0.229,3mVO7XaN9ULGNuXteiCOz3
10,Top Songs - Hong Kong,Gareth.T,國際孤獨等級,59,chill r&b,0.844,0.595,0.205,0.0,0.528,5KpWHEh32vzxkttIK3KHKI
1,Top Songs - Ukraine,SadSvit,Силуети,63,ukrainian post-punk,0.0155,0.527,0.861,0.0311,0.387,61BaxM1NIcadLu3gtWm2uT
2,Top Songs - Ukraine,ThxSoMch,SPIT IN MY FACE!,87,None,0.0464,0.73,0.785,0.0216,0.649,1N8TTK1Uoy7UvQNUazfUt5
3,Top Songs - Ukraine,INTERWORLD,METAMORPHOSIS,87,None,0.426,0.593,0.641,0.901,0.147,2ksyzVfU0WJoBpu8otr4pz
4,Top Songs - Ukraine,Skofka,Чути гімн,58,ukrainian pop,0.439,0.826,0.4,0.0,0.422,4Yzlz45QgjUKZmN2KrK4AP
5,Top Songs - Ukraine,Kordhell,Murder In My Mind,86,drift phonk,0.00547,0.712,0.972,7.06e-05,0.568,6qyS9qBy0mEk3qYaH8mPss
6,Top Songs - Ukraine,YAKTAK,Погляд,53,ukrainian pop,0.0908,0.761,0.793,6.68e-06,0.548,66Xj2OpnDALdW0G509b9yY
7,Top Songs - Ukraine,zxcursed,new era,61,russian hip hop,0.000121,0.597,0.873,3.65e-05,0.14,60pX9FvHlTE9PXRHLpmAYc
8,Top Songs - Ukraine,DVRST,Komarovo (DVRST Phonk Remix),64,drift phonk,0.0751,0.676,0.724,0.000194,0.253,1yqaea9PLO8rttUlcNTlcB
9,Top Songs - Ukraine,SadSvit,Касета,58,ukrainian post-punk,0.294,0.654,0.743,0.0495,0.632,4MQmxIxM5CXKjdq4IrCWhd
10,Top Songs - Ukraine,Parfeniuk,Провела екскурсію,58,ukrainian pop,0.0513,0.638,0.693,0.0,0.357,3h9XZd7ZON6LubTC3AqwzT
1,Top Songs - Egypt,Abo El Anwar,Blanco,59,egyptian hip hop,0.342,0.733,0.721,0.0,0.481,6Uig1yLkQkBZoHGDyZrTzm
2,Top Songs - Egypt,Essam Sasa,مسا مني ليكوا,61,egyptian pop,0.558,0.733,0.695,0.0,0.834,7qnR06N2Ekj9iBOQHiFqdq
3,Top Songs - Egypt,Mohammed Saeed,Alo Aleky,68,egyptian alternative,0.921,0.671,0.41,0.00181,0.51,0zzrAsIPYKENTWOwZqYjYp
4,Top Songs - Egypt,Wingii,Freedom Music: Scene Cypher 3,61,egyptian trap,0.34,0.685,0.448,0.0,0.378,6J2LvJwmgpauEsaY6h06fW
5,Top Songs - Egypt,Bahaa Sultan,Beraha Ya Sheekha,61,arab pop,0.226,0.794,0.748,8.57e-06,0.888,1VfR7wqvEB9vQZrpizMRmf
6,Top Songs - Egypt,Wegz,البخت,63,egyptian hip hop,0.487,0.78,0.59,1.07e-05,0.66,5kdlxZ5skOYY3VK8RlfEIZ
7,Top Songs - Egypt,Muslim - مُسلِم,Aleb Fel Dafater,61,egyptian alternative,0.53,0.393,0.5,0.00217,0.367,68WRDAU8QecpIyasp2BEby
8,Top Songs - Egypt,FL EX,MESAMA3EEN,59,egyptian trap,0.481,0.738,0.705,0.0,0.668,6gg53gW5wlz0jSQmOcqIfY
9,Top Songs - Egypt,Ahmed Mekky,ولعانه,54,arabic hip hop,0.319,0.605,0.889,0.0,0.573,2LXdEuFjon9uNIXbtoic6y
10,Top Songs - Egypt,Marwan Pablo,LELLY YAH,55,egyptian hip hop,0.163,0.792,0.661,0.0,0.441,1SSymcmcSI1oYQtwOA8mOJ
1,Top Songs - Australia,PinkPantheress,Boy's a liar Pt. 2,95,None,0.252,0.696,0.809,0.000128,0.857,6AQbmUe0Qwf5PZnt4HmTXv
2,Top Songs - Australia,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
3,Top Songs - Australia,SZA,Kill Bill,93,pop,0.0521,0.644,0.735,0.144,0.418,1Qrg8KqiBpW07V7PNxwwwL
4,Top Songs - Australia,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
5,Top Songs - Australia,Morgan Wallen,Last Night,83,contemporary country,0.467,0.492,0.675,0.0,0.478,7K3BhSpAxZBznislvUMVtn
6,Top Songs - Australia,Harry Styles,As It Was,90,pop,0.342,0.52,0.731,0.00101,0.662,4Dvkj6JhhA12EX05fT7y2e
7,Top Songs - Australia,Coi Leray,Players,90,new jersey underground rap,0.03,0.954,0.516,7.54e-06,0.624,6UN73IYd0hZxLi8wFPMQij
8,Top Songs - Australia,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),95,rap,0.417,0.715,0.62,0.0,0.172,2dHHgzDwk4BJdRwy9uXhTO
9,Top Songs - Australia,RAYE,Escapism.,79,dance pop,0.138,0.538,0.742,4.67e-05,0.25,5mHdCZtVyb4DcJw8799hZp
10,Top Songs - Australia,OneRepublic,I Ain't Worried,48,piano rock,0.0988,0.697,0.802,3.55e-05,0.822,4fYte8ZvTK14NEhAOZocBi
1,Top Songs - Indonesia,Raim Laode,Komang,84,None,0.415,0.696,0.412,6.16e-05,0.349,2AaaE0qvFWtyT8srKNfRhH
2,Top Songs - Indonesia,Mahalini,Sial,85,indonesian pop,0.89,0.563,0.431,2.9e-06,0.196,6dXiWwFrcGieqnoLYzPNp5
3,Top Songs - Indonesia,Jogja Hip Hop Foundation,Cintamu Sepahit Topi Miring,79,indonesian hip hop,0.147,0.741,0.801,2.73e-05,0.561,1ixNEKbIZTTZ5LIz3rr9jD
4,Top Songs - Indonesia,Aruma,Muak,80,None,0.774,0.265,0.32,0.000146,0.185,3N2WeXxSjngB1DSi8vrI8C
5,Top Songs - Indonesia,SZA,Kill Bill,93,pop,0.0521,0.644,0.735,0.144,0.418,1Qrg8KqiBpW07V7PNxwwwL
6,Top Songs - Indonesia,Awdella,Tertawan Hati,81,indonesian pop,0.661,0.319,0.432,0.0,0.244,3i0h88q1HBtbdIg2bPxs54
7,Top Songs - Indonesia,d4vd,Here With Me,92,bedroom pop,0.534,0.574,0.469,9.21e-05,0.288,78Sw5GDo6AlGwTwanjXbGh
8,Top Songs - Indonesia,raissa anggiani,Kau Rumahku,80,indonesian lo-fi pop,0.873,0.35,0.323,1.48e-06,0.278,7nQoDLkzCcoIpKPQt3eCdN
9,Top Songs - Indonesia,Feby Putri,Runtuh,79,indonesian pop,0.876,0.593,0.287,0.000136,0.191,6Hii26x3qDErVitnGW8QtO
10,Top Songs - Indonesia,New West,Those Eyes,86,pop,0.695,0.593,0.352,2.22e-05,0.226,50x1Ic8CaXkYNvjmxe3WXy
1,Top Songs - Thailand,เรนิษรา,ผู้ถูกเลือกให้ผิดหวัง (ดอกไม้ฤดูหนาว) - Sad flower,71,None,0.521,0.579,0.341,0.103,0.375,7BUHKcrvmr9WIAgEBkwukl
2,Top Songs - Thailand,Newery,กลิ่นดอกไม้,65,None,0.0997,0.495,0.702,9.69e-06,0.461,5OaXaynJZgklXEwzhouey5
3,Top Songs - Thailand,j-hope,on the street (with J. Cole),87,k-pop,0.532,0.681,0.821,0.00111,0.813,5wxYxygyHpbgv0EXZuqb9V
4,Top Songs - Thailand,BLACKPINK,Shut Down,75,k-pop,0.00327,0.818,0.69,0.0,0.688,7gRFDGEzF9UkBV233yv2dc
5,Top Songs - Thailand,NewJeans,OMG,92,k-pop,0.357,0.804,0.771,3.07e-06,0.739,65FftemJ1DbbZ45DUfHJXE
6,Top Songs - Thailand,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
7,Top Songs - Thailand,Musketeers,พิจารณา (Consider),68,deep german indie,0.526,0.77,0.677,0.000483,0.942,3XCoEJvCYqTbM8bhples8N
8,Top Songs - Thailand,YOUNGOHM,ธาตุทองซาวด์,66,thai hip hop,0.0473,0.828,0.921,0.0,0.74,00Tm1bspfNQJnaWAoQK2eC
9,Top Songs - Thailand,Pop Pongkool,สลักจิต,67,thai pop,0.409,0.544,0.582,4.47e-06,0.359,03Yp2uEOtPGHQ6E9XSjmyv
10,Top Songs - Thailand,NewJeans,Ditto,90,k-pop,0.027,0.814,0.641,0.0,0.183,3r8RuvgbX9s7ammBn07D3W
1,Top Songs - Poland,club2020,Malibu Barbie,58,polish hip hop,0.185,0.636,0.688,0.0,0.743,09bXpqLbPGZum6I4lDcnMX
2,Top Songs - Poland,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
3,Top Songs - Poland,club2020,Landlord,63,polish hip hop,0.0807,0.544,0.643,0.0,0.565,6Zqigzh6qzzkJyEuYAR0oh
4,Top Songs - Poland,Jann,Gladiator,70,None,0.173,0.648,0.785,0.00383,0.239,0vbp3qthXlRVsLXTbPrkX1
5,Top Songs - Poland,Dawid Podsiadło,mori,69,polish pop,0.634,0.37,0.497,0.0,0.101,2yxPqxHbj1L7vrCpHLtAcG
6,Top Songs - Poland,club2020,No weź,56,polish hip hop,0.116,0.8,0.589,0.0,0.272,6nKqdZTgE8RyTqwGx6Ow6f
7,Top Songs - Poland,2115,DRESSCODE,70,None,0.161,0.787,0.564,1.86e-06,0.718,3Nqxx5fdl3FQlrk3zarRmA
8,Top Songs - Poland,Kuban,na okrągło,70,polish alternative rap,0.334,0.724,0.525,4.51e-06,0.427,4JmaOG7bfj1uNv8jEUg0Ce
9,Top Songs - Poland,club2020,"Ej, mała!",61,polish hip hop,0.297,0.898,0.694,0.0,0.895,1665EkzeTTVQPc54hX6TJ2
10,Top Songs - Poland,Bambi,IRL,70,None,0.173,0.666,0.668,2.96e-06,0.454,0Mh7nzWn5BHJSenmaUSEt6
1,Top Songs - Ireland,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
2,Top Songs - Ireland,PinkPantheress,Boy's a liar Pt. 2,95,None,0.252,0.696,0.809,0.000128,0.857,6AQbmUe0Qwf5PZnt4HmTXv
3,Top Songs - Ireland,Calvin Harris,Miracle (with Ellie Goulding),81,dance pop,0.0378,0.636,0.869,0.0446,0.306,5eTaQYBE1yrActixMAeLcZ
4,Top Songs - Ireland,Lizzy McAlpine,ceilings,88,boston folk,0.473,0.516,0.322,0.00194,0.261,2L9N0zZnd37dwF0clgxMGI
5,Top Songs - Ireland,RAYE,Escapism.,79,dance pop,0.138,0.538,0.742,4.67e-05,0.25,5mHdCZtVyb4DcJw8799hZp
6,Top Songs - Ireland,SZA,Kill Bill,93,pop,0.0521,0.644,0.735,0.144,0.418,1Qrg8KqiBpW07V7PNxwwwL
7,Top Songs - Ireland,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
8,Top Songs - Ireland,Coi Leray,Players,90,new jersey underground rap,0.03,0.954,0.516,7.54e-06,0.624,6UN73IYd0hZxLi8wFPMQij
9,Top Songs - Ireland,Taylor Swift,Anti-Hero,92,pop,0.13,0.637,0.643,1.8e-06,0.533,0V3wPSX9ygBnCm8psDIegu
10,Top Songs - Ireland,Niall Horan,Heaven,86,dance pop,0.0708,0.571,0.761,0.0,0.681,1yHVHoz6Ny29gbbWJYVnFt
1,Top Songs - Ecuador,KAROL G,TQG,95,reggaeton,0.673,0.72,0.63,0.0,0.607,0DWdj2oZMBFSzRsi2Cvfzf
2,Top Songs - Ecuador,Yandel,Yandel 150,87,latin hip hop,0.0492,0.783,0.729,0.000272,0.58,4FAKtPVycI4DxoOHC01YqD
3,Top Songs - Ecuador,Feid,Feliz Cumpleaños Ferxxo,87,colombian pop,0.0863,0.865,0.573,0.0,0.563,2CeKVsFFXG4QzA415QygGb
4,Top Songs - Ecuador,Ozuna,Hey Mor,90,puerto rican pop,0.00302,0.901,0.589,0.000237,0.399,1zsPaEkglFvxjAhrM8yhpr
5,Top Songs - Ecuador,Feid,CHORRITO PA LAS ANIMAS,89,colombian pop,0.114,0.743,0.831,6.43e-05,0.609,0CYTGMBYkwUxrj1MWDLrC5
6,Top Songs - Ecuador,Manuel Turizo,La Bachata,93,colombian pop,0.583,0.835,0.679,1.98e-06,0.85,5ww2BF9slyYgNOk37BlC4u
7,Top Songs - Ecuador,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",96,argentine hip hop,0.274,0.778,0.632,0.0,0.498,4nrPB8O7Y7wsOCJdgXkthe
8,Top Songs - Ecuador,Feid,Normal,83,colombian pop,0.034,0.709,0.56,0.0,0.541,0T2pB7P1VdXPhLdQZ488uH
9,Top Songs - Ecuador,Arcángel,La Jumpa,86,latin hip hop,0.111,0.887,0.234,0.67,0.197,2mnXxnrX5vCGolNkaFvVeM
10,Top Songs - Ecuador,Gorillaz,Tormenta (feat. Bad Bunny),88,alternative hip hop,0.458,0.637,0.768,0.00192,0.297,38UYeBLfvpnDSG9GznZdnL
1,Top Songs - Peru,KAROL G,TQG,95,reggaeton,0.673,0.72,0.63,0.0,0.607,0DWdj2oZMBFSzRsi2Cvfzf
2,Top Songs - Peru,Yandel,Yandel 150,87,latin hip hop,0.0492,0.783,0.729,0.000272,0.58,4FAKtPVycI4DxoOHC01YqD
3,Top Songs - Peru,Feid,Feliz Cumpleaños Ferxxo,87,colombian pop,0.0863,0.865,0.573,0.0,0.563,2CeKVsFFXG4QzA415QygGb
4,Top Songs - Peru,Ozuna,Hey Mor,90,puerto rican pop,0.00302,0.901,0.589,0.000237,0.399,1zsPaEkglFvxjAhrM8yhpr
5,Top Songs - Peru,Feid,CHORRITO PA LAS ANIMAS,89,colombian pop,0.114,0.743,0.831,6.43e-05,0.609,0CYTGMBYkwUxrj1MWDLrC5
6,Top Songs - Peru,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",96,argentine hip hop,0.274,0.778,0.632,0.0,0.498,4nrPB8O7Y7wsOCJdgXkthe
7,Top Songs - Peru,Manuel Turizo,La Bachata,93,colombian pop,0.583,0.835,0.679,1.98e-06,0.85,5ww2BF9slyYgNOk37BlC4u
8,Top Songs - Peru,Taiu,Rara Vez,85,None,0.176,0.838,0.708,0.0,0.96,7MVIfkyzuUmQ716j8U7yGR
9,Top Songs - Peru,Cris Mj,Marisola - Remix,87,mambo chileno,0.173,0.765,0.872,5.65e-06,0.722,0NO2zL0kw8sGGnaMvHKAZF
10,Top Songs - Peru,Gorillaz,Tormenta (feat. Bad Bunny),88,alternative hip hop,0.458,0.637,0.768,0.00192,0.297,38UYeBLfvpnDSG9GznZdnL
1,Top Songs - Morocco,Dizzy DROS,M3a L3echrane,66,arabic hip hop,0.354,0.756,0.399,0.0,0.409,2L1MgWewnKsCx9MKykjZJw
2,Top Songs - Morocco,Draganov,WILI,64,moroccan pop,0.339,0.77,0.453,0.0,0.801,7AM2uga26rlhKu1a27MyFS
3,Top Songs - Morocco,Niro,Qui sait ? (feat. ElGrandeToto),69,francoton,0.712,0.534,0.624,0.000132,0.642,3ejjmzEsUfObGdmmQRVmM2
4,Top Songs - Morocco,kouz1,Love,70,moroccan pop,0.528,0.709,0.689,0.0147,0.523,5zgOQGcG0oTDUQVc45q1BY
5,Top Songs - Morocco,Mocci,Talet Lghiba,64,moroccan pop,0.592,0.694,0.569,0.0,0.374,6vEtT2Vu5MprdI69pATbLm
6,Top Songs - Morocco,Snor,Dawk Lya,58,moroccan pop,0.443,0.609,0.399,0.0633,0.36,5OInx13SpghEifbS5bQmwq
7,Top Songs - Morocco,DYSTINCT,Ghazali (feat. Bryan Mg),70,belgian hip hop,0.486,0.598,0.654,9.7e-06,0.536,5IJRqarA4QIc2qAw74mYo9
8,Top Songs - Morocco,Draganov,Taline,56,moroccan pop,0.165,0.852,0.543,0.0,0.69,0tfrAZsEOELEAcjCs46TJ5
9,Top Songs - Morocco,Mons,Lovini,57,moroccan pop,0.019,0.804,0.73,0.000177,0.442,7f783hK2ilf4bwfayaNvdB
10,Top Songs - Morocco,kouz1,Magic,61,moroccan pop,0.688,0.744,0.636,0.131,0.67,6L1hnXrPSKAoOFmdOA8ANa
1,Top Songs - Chile,KAROL G,TQG,95,reggaeton,0.673,0.72,0.63,0.0,0.607,0DWdj2oZMBFSzRsi2Cvfzf
2,Top Songs - Chile,Yandel,Yandel 150,87,latin hip hop,0.0492,0.783,0.729,0.000272,0.58,4FAKtPVycI4DxoOHC01YqD
3,Top Songs - Chile,El Jordan 23,SHERATON,73,mambo chileno,0.209,0.903,0.713,0.0,0.73,6sOSd3PYqy3UnSXF5r0MvN
4,Top Songs - Chile,KAROL G,X SI VOLVEMOS,84,reggaeton,0.334,0.794,0.807,0.0,0.575,4NoOME4Dhf4xgxbHDT7VGe
5,Top Songs - Chile,King Savagge,2 Hielos,56,mambo chileno,0.0727,0.834,0.628,2.96e-05,0.914,5Q9WL6KjOioqfqJdX2W72I
6,Top Songs - Chile,Ozuna,Hey Mor,90,puerto rican pop,0.00302,0.901,0.589,0.000237,0.399,1zsPaEkglFvxjAhrM8yhpr
7,Top Songs - Chile,KAROL G,MIENTRAS ME CURO DEL CORA,86,reggaeton,0.855,0.523,0.477,0.0,0.57,6otePxalBK8AVa20xhZYVQ
8,Top Songs - Chile,Jairo Vera,"Te Extraño a Lo Vio (feat. Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey) - Remix",72,mambo chileno,0.138,0.734,0.728,0.0,0.583,6YNzvCsLwAJ4xZjdK9qk3r
9,Top Songs - Chile,Feid,Feliz Cumpleaños Ferxxo,87,colombian pop,0.0863,0.865,0.573,0.0,0.563,2CeKVsFFXG4QzA415QygGb
10,Top Songs - Chile,Manuel Turizo,La Bachata,93,colombian pop,0.583,0.835,0.679,1.98e-06,0.85,5ww2BF9slyYgNOk37BlC4u
1,Top Songs - Canada,Morgan Wallen,Last Night,83,contemporary country,0.467,0.492,0.675,0.0,0.478,7K3BhSpAxZBznislvUMVtn
2,Top Songs - Canada,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
3,Top Songs - Canada,PinkPantheress,Boy's a liar Pt. 2,95,None,0.252,0.696,0.809,0.000128,0.857,6AQbmUe0Qwf5PZnt4HmTXv
4,Top Songs - Canada,SZA,Kill Bill,93,pop,0.0521,0.644,0.735,0.144,0.418,1Qrg8KqiBpW07V7PNxwwwL
5,Top Songs - Canada,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
6,Top Songs - Canada,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),95,rap,0.417,0.715,0.62,0.0,0.172,2dHHgzDwk4BJdRwy9uXhTO
7,Top Songs - Canada,Rema,Calm Down (with Selena Gomez),93,nigerian pop,0.382,0.801,0.806,0.000669,0.802,0WtM2NBVQNNJLh6scP13H8
8,Top Songs - Canada,David Guetta,I'm Good (Blue),93,big room,0.00383,0.561,0.965,7.07e-06,0.304,4uUG5RXrOk84mYEfFvj3cK
9,Top Songs - Canada,Coi Leray,Players,90,new jersey underground rap,0.03,0.954,0.516,7.54e-06,0.624,6UN73IYd0hZxLi8wFPMQij
10,Top Songs - Canada,Miley Cyrus,River,85,pop,0.000525,0.613,0.803,0.000333,0.461,04CqLjewJiSAqM210vZAmT
1,Top Songs - Belgium,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
2,Top Songs - Belgium,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),95,rap,0.417,0.715,0.62,0.0,0.172,2dHHgzDwk4BJdRwy9uXhTO
3,Top Songs - Belgium,David Guetta,I'm Good (Blue),93,big room,0.00383,0.561,0.965,7.07e-06,0.304,4uUG5RXrOk84mYEfFvj3cK
4,Top Songs - Belgium,Hamza,Nocif,75,belgian hip hop,0.0318,0.844,0.55,0.00117,0.788,4BZZTXcd5ROagKhynqj61X
5,Top Songs - Belgium,PinkPantheress,Boy's a liar Pt. 2,95,None,0.252,0.696,0.809,0.000128,0.857,6AQbmUe0Qwf5PZnt4HmTXv
6,Top Songs - Belgium,Tom Odell,Another Love,61,chill pop,0.717,0.442,0.538,2.95e-05,0.139,7jtQIBanIiJOMS6RyCx6jZ
7,Top Songs - Belgium,Maan,Stiekem,69,dutch pop,0.0156,0.748,0.579,1.37e-05,0.625,4fWyBvLIPO68D2Ff87t1em
8,Top Songs - Belgium,Harry Styles,As It Was,90,pop,0.342,0.52,0.731,0.00101,0.662,4Dvkj6JhhA12EX05fT7y2e
9,Top Songs - Belgium,Oliver Tree,Miss You,89,alternative hip hop,0.0128,0.587,0.742,0.00107,0.199,73vIOb4Q7YN6HeJTbscRx5
10,Top Songs - Belgium,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
1,Top Songs - Sweden,Loreen,Tattoo,80,electropop,0.243,0.545,0.779,1.66e-06,0.303,1DmW5Ep6ywYwxc2HMT5BG6
2,Top Songs - Sweden,Smash Into Pieces,Six Feet Under,71,None,0.000556,0.448,0.917,0.0,0.381,5DYCuzBPf13q0QZwQvjYzi
3,Top Songs - Sweden,Yasin,Har Dig,69,swedish gangsta rap,0.524,0.562,0.43,0.676,0.265,4FGvRqZ1pPaflN2jjLBMB9
4,Top Songs - Sweden,Marcus & Martinus,Air,70,mgpjr,0.0495,0.572,0.734,0.0,0.0867,7DBQIEXuFIXMWNAWyGsTTm
5,Top Songs - Sweden,Theoz,Mer av dig,63,swedish idol pop,0.185,0.649,0.81,0.0,0.764,7xzgJNufqvox5oQQa1dP1O
6,Top Songs - Sweden,Arc North,Where You Are (Sávežan),68,covertronica,0.029,0.585,0.781,0.0,0.288,4zPqv04ddAFwk2Pgz3jC9U
7,Top Songs - Sweden,C.Gambino,G63,65,swedish gangsta rap,0.284,0.818,0.506,0.145,0.636,3pBTElvw1OK7pDDI3MR4qC
8,Top Songs - Sweden,Nordman,Släpp alla sorger,67,classic swedish pop,0.0837,0.481,0.827,0.0,0.397,4lGrF9Fk8wJ6nLgcuRdFre
9,Top Songs - Sweden,Dizzy,KURIRER,66,swedish drill,0.16,0.597,0.562,0.000528,0.169,7dLIb2FTMx0EKSAipHov7P
10,Top Songs - Sweden,Panetoz,On My Way,66,swedish pop,0.25,0.823,0.891,0.0,0.868,710xi8haZ3Os0wip67GcmY
1,Top Songs - Austria,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
2,Top Songs - Austria,Udo Lindenberg,Komet,82,german pop,0.285,0.55,0.5,0.0,0.351,7oQepKHmXDaPC3rgeLRvQu
3,Top Songs - Austria,AYLIVA,Sie weiß (feat. Mero),80,None,0.517,0.792,0.679,1.49e-05,0.204,7DyDjhZMEIK5Ied4juTCyc
4,Top Songs - Austria,David Guetta,I'm Good (Blue),93,big room,0.00383,0.561,0.965,7.07e-06,0.304,4uUG5RXrOk84mYEfFvj3cK
5,Top Songs - Austria,Luciano,Bamba (feat. Aitch & BIA),72,german drill,0.119,0.797,0.791,0.0,0.828,7sJNeWTXkZCEC7OnFMpGWL
6,Top Songs - Austria,Kwam.E,Hallow Kitty,72,german alternative rap,0.0243,0.933,0.522,0.0,0.624,3YONiGJ9VB9KvpXEHgLMjF
7,Top Songs - Austria,RIN,AMG,70,german cloud rap,0.0873,0.538,0.738,0.0,0.595,1cfRQnbM4Cf0xEt3mx2cQ6
8,Top Songs - Austria,Tom Odell,Another Love,61,chill pop,0.717,0.442,0.538,2.95e-05,0.139,7jtQIBanIiJOMS6RyCx6jZ
9,Top Songs - Austria,Nina Chuba,Wildberry Lillet,64,hamburg hip hop,0.0642,0.892,0.503,0.0,0.615,6LBmaJYwbLHfQwIreMCLlw
10,Top Songs - Austria,Eminem,Mockingbird,90,detroit hip hop,0.209,0.637,0.678,0.0,0.254,561jH07mF1jHuk7KlaeF0s
1,Top Songs - Turkey,Semicenk,Yana Yana,78,None,0.111,0.793,0.718,1.33e-06,0.557,7p0ODIG60DRkcTiVlJPgck
2,Top Songs - Turkey,Simge,Aşkın Olayım,78,deep turkish pop,0.23,0.556,0.582,0.0,0.561,4o4kbDP7DMVFPwAf5D5bj9
