rank,playlist,artist_name,track_name,track popularity,artist genre,acousticness,danceability,energy,instrumentalness,valence,track_id
10,Top Songs - Japan,natori,Overdose,77,None,0.0307,0.733,0.598,1.7e-05,0.831,2Dzzhb1oV5ckgOjWZLraIB
1,Top Songs - South Korea,NewJeans,OMG,92,k-pop,0.357,0.804,0.771,3.07e-06,0.739,65FftemJ1DbbZ45DUfHJXE
2,Top Songs - South Korea,NewJeans,Ditto,90,k-pop,0.027,0.814,0.641,0.0,0.183,3r8RuvgbX9s7ammBn07D3W
3,Top Songs - South Korea,NewJeans,Hype Boy,86,k-pop,0.268,0.593,0.935,0.0,0.783,0a4MMyCrzT0En247IhqZbD
4,Top Songs - South Korea,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),80,dance pop,0.619,0.881,0.592,1.32e-05,0.719,5Odq8ohlgIbQKMZivbWkEo
5,Top Songs - South Korea,TAEYANG,VIBE (feat. Jimin of BTS),83,korean r&b,0.0801,0.78,0.683,0.0,0.608,61AZsmFB3VoJdmraMk5ZSn
6,Top Songs - South Korea,imase,NIGHT DANCER,68,japanese teen pop,0.0879,0.924,0.563,0.0,0.872,3gmn76fCtpDazGMnN0QMHX
7,Top Songs - South Korea,NewJeans,Attention,83,k-pop,0.236,0.811,0.648,0.0,0.695,2pIUpMhHL6L9Z5lnKxJJr9
8,Top Songs - South Korea,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
9,Top Songs - South Korea,j-hope,on the street (with J. Cole),87,k-pop,0.532,0.681,0.821,0.00111,0.813,5wxYxygyHpbgv0EXZuqb9V
10,Top Songs - South Korea,LE SSERAFIM,ANTIFRAGILE,85,None,0.0821,0.882,0.797,0.0,0.824,4fsQ0K37TOXa3hEQfjEic1
1,Top Songs - India,Kaifi Khalil,Kahani Suno 2.0,83,balochi pop,0.909,0.577,0.379,0.000586,0.26,4VsP4Dm8gsibRxB5I2hEkw
2,Top Songs - India,King,Maan Meri Jaan,85,hindi hip hop,0.354,0.698,0.505,0.0,0.396,1418IuVKQPTYqt7QNJ9RXN
3,Top Songs - India,Pritam,Kesariya,75,filmi,0.572,0.577,0.574,0.0,0.436,4UMIv5jd9gK98a39BQRD9X
4,Top Songs - India,Vishal-Shekhar,Jhoome Jo Pathaan,82,desi pop,0.0964,0.817,0.738,0.0,0.616,6FAYpZ4jve8vpvTwUvjK6H
5,Top Songs - India,Pritam,Tere Pyaar Mein,80,filmi,0.111,0.679,0.748,0.0,0.406,2ZD4aIEepqZsdxPxLSuUhm
6,Top Songs - India,Chani Nattan,Daku,80,desi hip hop,0.325,0.847,0.558,0.0,0.495,3wz2vWhYnnBoFmgMkqtzLy
7,Top Songs - India,King,Tu Aake Dekhle,80,hindi hip hop,0.515,0.77,0.84,0.00452,0.192,0yCWDaAgOtg6TKlNCg9rwA
8,Top Songs - India,Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")",82,desi pop,0.0587,0.773,0.795,0.00237,0.649,0CtZpaOhtzvLV3FfcsVpQo
9,Top Songs - India,Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),77,desi pop,0.837,0.464,0.491,1.39e-06,0.106,7oN0Wo7sCVvXPdpxoio3JM
10,Top Songs - India,Pritam,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",77,filmi,0.138,0.772,0.767,0.0,0.866,2vPrBucKCfKmafHhSfJ2pt
1,Top Songs - Brazil,AgroPlay,Nosso Quadro,77,sertanejo pop,0.338,0.691,0.708,0.0,0.602,4uqJelb9THHmJ3OCohg4ZJ
2,Top Songs - Brazil,Marília Mendonça,Leão,88,arrocha,0.449,0.743,0.865,3.05e-06,0.794,2K9kZpwD2CzTa6iiSYYOoO
