acousticness,danceability,energy,instrumentalness,valence
0.305,0.652,0.628,0.0,0.317
0.0378,0.726,0.672,0.0,0.479
0.228,0.47,0.619,0.0,0.453
0.577,0.633,0.751,0.0,0.43
0.232,0.33,0.668,0.0,0.323
0.4,0.635,0.541,0.0,0.133
0.226,0.829,0.703,0.0336,0.615
0.0384,0.316,0.524,0.000116,0.488
0.37,0.572,0.66,0.0,0.581
0.0125,0.621,0.782,0.033,0.55
0.0216,0.681,0.868,0.00023,0.282
0.193,0.616,0.4,0.000915,0.335
0.797,0.522,0.428,0.0,0.368
0.0632,0.707,0.681,5.15e-06,0.646
0.137,0.703,0.613,8.28e-05,0.518
0.511,0.732,0.54,8.49e-06,0.349
0.0304,0.682,0.764,0.0,0.729
0.562,0.714,0.487,0.0,0.528
0.75,0.33,0.768,0.0,0.361
0.134,0.761,0.787,0.00145,0.542
0.252,0.696,0.809,0.000128,0.857
0.0632,0.707,0.681,5.15e-06,0.646
0.0521,0.644,0.735,0.144,0.418
0.0378,0.636,0.869,0.0446,0.306
0.138,0.538,0.742,4.67e-05,0.25
0.473,0.516,0.322,0.00194,0.261
0.227,0.575,0.5,0.0,0.506
0.03,0.954,0.516,7.54e-06,0.624
0.0267,0.684,0.607,0.000307,0.498
0.13,0.637,0.643,1.8e-06,0.533
0.0758,0.729,0.774,0.0,0.416
0.942,0.319,0.198,8.65e-06,0.287
0.723,0.646,0.452,0.0,0.266
0.869,0.57,0.392,0.0,0.524
0.443,0.635,0.389,0.0,0.667
0.0399,0.624,0.667,3.42e-05,0.223
0.0503,0.578,0.713,0.0,0.397
0.503,0.679,0.563,0.0,0.631
0.5,0.466,0.471,0.0,0.229
0.844,0.595,0.205,0.0,0.528
0.0155,0.527,0.861,0.0311,0.387
0.0464,0.73,0.785,0.0216,0.649
0.426,0.593,0.641,0.901,0.147
0.439,0.826,0.4,0.0,0.422
0.00547,0.712,0.972,7.06e-05,0.568
0.0908,0.761,0.793,6.68e-06,0.548
0.000121,0.597,0.873,3.65e-05,0.14
0.0751,0.676,0.724,0.000194,0.253
0.294,0.654,0.743,0.0495,0.632
0.0513,0.638,0.693,0.0,0.357
0.342,0.733,0.721,0.0,0.481
0.558,0.733,0.695,0.0,0.834
0.921,0.671,0.41,0.00181,0.51
0.34,0.685,0.448,0.0,0.378
0.226,0.794,0.748,8.57e-06,0.888
0.487,0.78,0.59,1.07e-05,0.66
0.53,0.393,0.5,0.00217,0.367
0.481,0.738,0.705,0.0,0.668
0.319,0.605,0.889,0.0,0.573
0.163,0.792,0.661,0.0,0.441
0.252,0.696,0.809,0.000128,0.857
0.0632,0.707,0.681,5.15e-06,0.646
0.0521,0.644,0.735,0.144,0.418
0.227,0.575,0.5,0.0,0.506
0.467,0.492,0.675,0.0,0.478
0.342,0.52,0.731,0.00101,0.662
0.03,0.954,0.516,7.54e-06,0.624
0.417,0.715,0.62,0.0,0.172
0.138,0.538,0.742,4.67e-05,0.25
0.0988,0.697,0.802,3.55e-05,0.822
0.415,0.696,0.412,6.16e-05,0.349
0.89,0.563,0.431,2.9e-06,0.196
0.147,0.741,0.801,2.73e-05,0.561
0.774,0.265,0.32,0.000146,0.185
0.0521,0.644,0.735,0.144,0.418
